airport_id	FAA_CODE	icao_code	iata_code	LATITUDE_DEGREES	LONGITUDE_DEGREES
10904	85TE	NULL	NULL	29.634194	-97.811694
10905	TS18	NULL	NULL	30.654351	-98.478641
10906	67TE	NULL	NULL	30.949624	-97.796684
10907	86TN	NULL	NULL	36.015001	-83.547485
10908	8TN7	NULL	NULL	36.400833	-87.991667
10909	44TE	NULL	NULL	30.683517	-98.416973
10910	73FD	NULL	NULL	29.510795	-82.86012
10911	FA36	NULL	NULL	29.515128	-82.872924
10912	FD89	NULL	NULL	30.827131	-87.358311
10913	51FL	NULL	NULL	29.394944	-82.869778
10914	6FD0	NULL	NULL	29.565794	-82.868732
10915	4TX7	NULL	NULL	33.419539	-99.865648
10916	3TN3	NULL	NULL	36.263333	-88.757222
10917	6TX4	NULL	NULL	34.3434	-101.544336
10918	29F	NULL	NULL	34.392833	-101.759917
10919	4TN4	NULL	NULL	35.19	-89.638611
10920	5XA0	NULL	NULL	31.255583	-100.6476
10921	4TX8	NULL	NULL	33.248729	-97.223905
10922	FL15	NULL	NULL	30.420195	-85.300477
10923	74FD	NULL	NULL	30.464084	-85.177142
10924	5FD1	NULL	NULL	30.432139	-85.288811
10925	6FD2	NULL	NULL	28.666941	-81.084506
10926	9FD5	NULL	NULL	29.386639	-82.142872
10927	FD14	NULL	NULL	29.375251	-82.058146
10928	39TN	NULL	NULL	36.279722	-88.043611
10929	98TN	NULL	NULL	36.1425	-83.604167
10930	FA64	NULL	NULL	27.074498	-81.586467
10931	8FL1	NULL	NULL	27.196994	-81.91564
10932	FL16	NULL	NULL	28.058631	-81.816469
10933	0J8	NULL	NULL	29.618917	-82.508778
10934	SD97	NULL	NULL	43.877766	-100.362078
10935	TN47	NULL	NULL	35.288975	-89.741193
10936	88TN	NULL	NULL	35.423303	-85.783546
10937	7Q7	NULL	NULL	43.561664	-100.741806
10938	1SD5	NULL	NULL	43.768608	-98.798701
10939	K96	NULL	NULL	39.781197	-88.306446
10940	06FA	NULL	NULL	26.908153	-80.328414
10941	6X0	NULL	NULL	32.0975	-95.294861
10942	XS70	NULL	NULL	33.140583	-95.022581
10943	XS23	NULL	NULL	30.126593	-99.471161
10944	5FL1	NULL	NULL	29.903272	-83.607924
10945	FD09	NULL	NULL	27.810027	-80.858949
10946	1ID4	NULL	NULL	43.310556	-115.9025
10947	04CA	NULL	NULL	34.566622	-117.670383
10948	4FL1	NULL	NULL	27.862778	-80.958056
10949	33FL	NULL	NULL	27.860861	-80.999861
10950	FD15	NULL	NULL	26.9795	-80.218657
10951	8CL0	NULL	NULL	34.58888	-117.825897
10952	1TE0	NULL	NULL	34.269522	-102.71716
10953	71XA	NULL	NULL	32.352931	-95.716328
10954	TX02	NULL	NULL	32.526512	-99.612864
10955	82TS	NULL	NULL	32.450126	-99.650364
10956	TX00	NULL	NULL	32.448889	-99.62
10957	67T	NULL	NULL	27.800244	-97.851021
10958	TA24	NULL	NULL	31.475164	-98.711435
10959	TA89	NULL	NULL	31.523774	-98.800326
10960	75TA	NULL	NULL	32.534277	-101.725137
10961	XS24	NULL	NULL	29.829672	-97.099152
10962	CN98	NULL	NULL	33.245556	-114.710278
10963	0U7	NULL	NULL	43.32375	-113.5905
10964	CA92	NULL	NULL	39.710556	-121.6165
10965	U65	NULL	NULL	43.308806	-113.936028
10966	ID44	NULL	NULL	44.224891	-116.179577
10967	7FA1	NULL	NULL	24.648754	-81.579808
10968	ID77	NULL	NULL	44.705278	-116.806944
10969	ID00	NULL	NULL	43.695717	-116.638469
10970	TX42	NULL	NULL	29.936531	-96.036528
10971	4TX0	NULL	NULL	29.863554	-94.834367
10972	33TA	NULL	NULL	30.332986	-95.612166
10973	6TS4	NULL	NULL	31.186287	-97.390563
10974	TE89	NULL	NULL	27.27962	-98.967492
10975	7TE7	NULL	NULL	26.383679	-98.333627
10976	ID05	NULL	NULL	47.956848	-116.677419
10977	NEN	KNEN	NULL	30.349495	-81.866989
10978	ID48	NULL	NULL	47.928793	-116.711029
10979	U45	NULL	NULL	43.955178	-115.272591
10980	FD63	NULL	NULL	30.512778	-83.198333
10981	55H	NULL	NULL	43.813511	-115.135082
10982	XS20	NULL	NULL	30.154093	-99.297824
10983	TX36	NULL	NULL	32.060917	-97.588583
10984	43TA	NULL	NULL	32.025151	-97.626411
10985	84TE	NULL	NULL	31.988067	-97.543181
10986	TX28	NULL	NULL	32.021667	-97.677639
10987	1TA1	NULL	NULL	32.628333	-99.140278
10988	56FL	NULL	NULL	30.876019	-87.207469
10989	ID16	NULL	NULL	43.403517	-114.272544
10990	FA11	NULL	NULL	30.622431	-83.259313
10991	U60	NULL	NULL	45.133243	-115.321779
10992	50FL	NULL	NULL	30.853333	-87.239444
10993	U46	NULL	NULL	43.432583	-113.055444
10994	U37	NULL	NULL	43.453611	-112.80725
10995	U51	NULL	NULL	42.720752	-111.867456
10996	FL96	NULL	NULL	30.955739	-87.130525
10997	U48	NULL	NULL	43.21775	-113.227556
10998	6TS6	NULL	NULL	31.041575	-96.201627
10999	59PA	NULL	NULL	41.902831	-75.989186
11000	TE09	NULL	NULL	29.331906	-95.276042
11001	6P7	NULL	NULL	40.734562	-79.595646
11002	73TX	NULL	NULL	30.569528	-95.482361
11003	1E4	NULL	NULL	35.143722	-101.839222
11004	1E7	NULL	NULL	35.063889	-101.877583
11005	H81	NULL	NULL	35.081425	-101.755797
11006	89TS	NULL	NULL	31.566872	-95.766671
11007	FL50	NULL	NULL	30.146622	-82.572344
11008	05CL	NULL	NULL	38.610739	-122.391368
11009	15FL	NULL	NULL	30.153743	-82.666406
11010	FL03	NULL	NULL	29.991906	-82.366502
11011	20CL	NULL	NULL	38.749347	-122.367478
11012	FL27	NULL	NULL	30.043847	-82.604008
11013	1FL3	NULL	NULL	30.034397	-82.782069
11014	XS39	NULL	NULL	35.077017	-101.691369
11015	13TS	NULL	NULL	27.455307	-98.926413
11016	7TX8	NULL	NULL	35.107556	-102.03825
11017	71TA	NULL	NULL	31.830792	-102.247567
11018	2TX0	NULL	NULL	35.064499	-101.849355
11019	PS25	NULL	NULL	39.84343	-77.164722
11020	XS33	NULL	NULL	30.062434	-93.864615
11021	6CA6	NULL	NULL	38.327692	-120.477146
11022	FD33	NULL	NULL	28.211679	-81.998692
11023	FL43	NULL	NULL	28.258056	-81.930556
11024	X49	NULL	NULL	27.933358	-82.043974
11025	0CL0	NULL	NULL	37.118002	-119.913214
11026	FD49	NULL	NULL	28.773599	-82.130365
11027	FD72	NULL	NULL	27.182827	-81.390629
11028	O39	NULL	NULL	40.803703	-120.366208
11029	TX15	NULL	NULL	32.751518	-97.612803
11030	TE67	NULL	NULL	29.429122	-98.131672
11031	PS69	NULL	NULL	40.727007	-78.539467
11032	TE86	NULL	NULL	29.444444	-98.112778
11033	1E2	NULL	NULL	29.4515	-103.397611
11034	TS87	NULL	NULL	30.417983	-96.079401
11035	ID74	NULL	NULL	44.53657	-115.350941
11036	74CN	NULL	NULL	35.476358	-120.309022
11037	CN99	NULL	NULL	37.546444	-121.158578
11038	CL33	NULL	NULL	33.31059	-116.998083
11039	9TA1	NULL	NULL	29.658559	-98.137786
11040	4TE4	NULL	NULL	29.621019	-103.679351
11041	PS35	NULL	NULL	40.458146	-76.458017
11042	9N7	NULL	NULL	40.442868	-76.441627
11043	XS09	NULL	NULL	30.5375	-95.436389
11044	0PA5	NULL	NULL	41.494501	-79.830889
11045	TA01	NULL	NULL	32.341811	-97.25029
11046	08FA	NULL	NULL	26.579795	-81.483689
11047	FA51	NULL	NULL	26.738955	-81.506188
11048	01CL	NULL	NULL	38.799902	-120.734376
11049	FD20	NULL	NULL	26.800342	-81.485077
