airport_id	FAA_CODE	icao_code	iata_code	LATITUDE_DEGREES	LONGITUDE_DEGREES	COUNTRY_CODE	SUBDIVISION_CODE
23945	6KY3	NULL	NULL	38.328611	-85.214167	USA	KY
23946	4KY8	NULL	NULL	37.945833	-85.696944	USA	KY
23947	5Y0	NULL	NULL	44.668222	-83.305111	USA	MI
23948	63WI	NULL	NULL	42.665839	-89.737622	USA	WI
23949	1WI1	NULL	NULL	43.932761	-88.704555	USA	WI
23950	WS50	NULL	NULL	44.013964	-88.599658	USA	WI
23951	LA06	NULL	NULL	30.401864	-91.935117	USA	LA
23952	LA66	NULL	NULL	29.642154	-91.102045	USA	LA
23953	LA64	NULL	NULL	29.683542	-91.1001	USA	LA
23954	7LS3	NULL	NULL	29.693664	-91.099289	USA	LA
23955	LS91	NULL	NULL	30.417222	-91.973611	USA	LA
23956	WI11	NULL	NULL	42.591399	-89.24067	USA	WI
23957	69WI	NULL	NULL	45.319964	-92.687707	USA	WI
23958	WI40	NULL	NULL	42.913333	-89.352342	USA	WI
23959	WS33	NULL	NULL	42.909167	-89.450953	USA	WI
23960	9WI5	NULL	NULL	42.828345	-88.574545	USA	WI
23961	WS02	NULL	NULL	43.742477	-89.715958	USA	WI
23962	WI95	NULL	NULL	42.577797	-88.01405	USA	WI
23963	51WI	NULL	NULL	44.062762	-88.557335	USA	WI
23964	96WI	NULL	NULL	43.941096	-88.493724	USA	WI
23965	78WI	NULL	NULL	44.577514	-91.211611	USA	WI
23966	WS17	NULL	NULL	43.989428	-88.578446	USA	WI
23967	WI39	NULL	NULL	43.066944	-88.467222	USA	WI
23968	46WI	NULL	NULL	45.11766	-92.556198	USA	WI
23969	14WI	NULL	NULL	45.136944	-92.376667	USA	WI
23970	3KY0	NULL	NULL	38.052222	-84.219167	USA	KY
23971	72KY	NULL	NULL	36.765083	-84.199379	USA	KY
23972	38KY	NULL	NULL	38.635902	-84.568553	USA	KY
23973	18LS	NULL	NULL	29.891944	-92.168333	USA	LA
23974	LA95	NULL	NULL	29.974361	-92.108433	USA	LA
23975	35LA	NULL	NULL	29.974456	-92.176128	USA	LA
23976	2WN4	NULL	NULL	44.339423	-88.781218	USA	WI
23977	WI35	NULL	NULL	45.215798	-92.5727	USA	WI
23978	WS76	NULL	NULL	44.470675	-88.824547	USA	WI
23979	95LA	NULL	NULL	31.316633	-92.468383	USA	LA
23980	LA82	NULL	NULL	31.353169	-92.436961	USA	LA
23981	LA20	NULL	NULL	31.28325	-92.462844	USA	LA
23982	LS27	NULL	NULL	31.315789	-92.449861	USA	LA
23983	05LS	NULL	NULL	31.252222	-92.475833	USA	LA
23984	WI20	NULL	NULL	44.883046	-88.092047	USA	WI
23985	22WI	NULL	NULL	44.864991	-88.128436	USA	WI
23986	30W	NULL	NULL	44.951933	-87.808437	USA	WI
23987	WN46	NULL	NULL	43.067507	-88.50871	USA	WI
23988	0WI8	NULL	NULL	43.138895	-88.472321	USA	WI
23989	NV97	NULL	NULL	38.684167	-119.322222	USA	NV
23990	22NV	NULL	NULL	40.971944	-117.728611	USA	NV
23991	02NV	NULL	NULL	41.300556	-118.928333	USA	NV
23992	01NV	NULL	NULL	38.763889	-119.027222	USA	NV
23993	0NY2	NULL	NULL	41.231028	-74.047333	USA	NY
23994	MU71	NULL	NULL	39.347499	-94.858018	USA	MO
23995	2NY7	NULL	NULL	42.121463	-77.211364	USA	NY
23996	7NY8	NULL	NULL	42.963776	-74.12556	USA	NY
23997	8NY3	NULL	NULL	42.268678	-75.559722	USA	NY
23998	NK32	NULL	NULL	42.666745	-73.8329	USA	NY
23999	NK64	NULL	NULL	42.651746	-73.774843	USA	NY
24000	NK33	NULL	NULL	42.616746	-73.782899	USA	NY
24001	09MO	NULL	NULL	37.378378	-93.363248	USA	MO
24002	94MO	NULL	NULL	36.805336	-91.881261	USA	MO
24003	50MO	NULL	NULL	36.738393	-91.87376	USA	MO
24004	MO10	NULL	NULL	36.872222	-91.905833	USA	MO
24005	40MO	NULL	NULL	39.422528	-94.837853	USA	MO
24006	NC37	NULL	NULL	36.340136	-79.841147	USA	NC
24007	NV25	NULL	NULL	36.038119	-114.984633	USA	NV
24008	74MO	NULL	NULL	38.693662	-90.269557	USA	MO
24009	MO7	NULL	NULL	38.625333	-90.183	USA	MO
24010	NV26	NULL	NULL	36.079141	-115.068885	USA	NV
24011	2MU1	NULL	NULL	38.635	-90.261111	USA	MO
24012	NV10	NULL	NULL	35.988034	-114.925822	USA	NV
24013	MO91	NULL	NULL	38.633385	-90.250113	USA	MO
24014	9MO1	NULL	NULL	38.635639	-90.445614	USA	MO
24015	8MO9	NULL	NULL	38.645608	-90.446786	USA	MO
24016	MU06	NULL	NULL	38.642273	-90.230668	USA	MO
24017	MO55	NULL	NULL	38.622274	-90.233723	USA	MO
24018	MU52	NULL	NULL	38.625052	-90.242613	USA	MO
24019	87NC	NULL	NULL	34.916111	-78.600278	USA	NC
24020	NV34	NULL	NULL	36.15997	-115.16639	USA	NV
24021	0NV1	NULL	NULL	36.193611	-115.300833	USA	NV
24022	7NC6	NULL	NULL	34.950972	-78.509278	USA	NC
24023	45MO	NULL	NULL	38.847273	-90.639012	USA	MO
24024	NC51	NULL	NULL	36.436818	-77.64609	USA	NC
24025	NV52	NULL	NULL	36.172192	-115.140556	USA	NV
24026	1NC8	NULL	NULL	35.515833	-80.258056	USA	NC
24027	NV48	NULL	NULL	36.137471	-115.1675	USA	NV
24028	92NR	NULL	NULL	34.909722	-79.713889	USA	NC
24029	NV40	NULL	NULL	35.95	-115.166667	USA	NV
